DATA_TIME,vehicleState,runModel,chargeState,speed,gear,distance,SOC,totalVoltage,totalCurrent,lon,lat,maxTemperature,minTemperature,maxBatteryVoltage,minBatteryVoltage
2020-03-26 14:30:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.7,113.063103,27.830395,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063105,27.830406,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.0631,27.830406,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.6,113.063098,27.830408,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.7,113.0631,27.830408,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.06311,27.830405,-39.0,-39.0,0.256,0.256
2020-03-26 14:31:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.06312,27.830406,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.06311,27.830411,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.063093,27.830416,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.063085,27.830411,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.063086,27.830405,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.7,113.063086,27.830395,-39.0,-39.0,0.256,0.256
2020-03-26 14:32:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.063085,27.830388,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.063083,27.830386,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.063085,27.830385,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.063058,27.830401,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.063035,27.830425,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.063026,27.830423,-39.0,-39.0,0.256,0.256
2020-03-26 14:33:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.062978,27.830425,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.7,113.062941,27.830428,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062913,27.830405,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062908,27.830413,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.4,2.6,113.0629,27.83041,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.6,2.6,113.062878,27.830413,-39.0,-39.0,0.256,0.256
2020-03-26 14:34:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062858,27.830421,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.06285,27.830436,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062868,27.830438,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062891,27.83046,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062931,27.830475,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.4,2.6,113.062941,27.830473,-39.0,-39.0,0.256,0.256
2020-03-26 14:35:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.5,2.6,113.062956,27.830473,-39.0,-39.0,0.256,0.256
2020-03-26 14:36:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.3,5.9,113.062953,27.83046,-39.0,-39.0,0.256,0.256
